title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,event_date_utc,continent,country
"M 7.3 - 187 km SE of Ust’-Kamchatsk Staryy, Russia",7.3,3,7,green,1,822,us,0,4.126,23,mww,16.56,55.0999,164.699,2018-12-20,,
M 7.1 - South Sandwich Islands region,7.1,0,5,green,1,776,us,0,7.043,20,mww,133,-58.5446,-26.3856,2018-12-11,,South Georgia and the South Sandwich Islands
"M 6.6 - 199 km ESE of Tadine, New Caledonia",6.6,0,4,green,1,670,us,0,2.679,31,mww,10,-22.0629,169.733,2018-12-05,,
"M 7.5 - 166 km ESE of Tadine, New Caledonia",7.5,3,6,green,1,871,us,0,2.405,18,mww,10,-21.9496,169.427,2018-12-05,,
"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,8,8,orange,1,1790,ak,0,0,0,mw,46.7,61.3464,-149.955,2018-11-30,North America,United States of America
"M 6.8 - 187 km E of Levuka, Fiji",6.8,0,3,green,1,711,us,0,2.879,39,mww,540,-17.8735,-178.927,2018-11-18,,Fiji
"M 6.7 - 120 km NW of Olonkinbyen, Svalbard and Jan Mayen",6.7,3,4,green,1,693,us,0,7.853,19,mww,10,71.6312,-11.2431,2018-11-09,,
"M 6.8 - 32 km SW of Lithakiá, Greece",6.8,8,7,yellow,0,954,us,0,2.268,15,mww,14,37.5203,20.5565,2018-10-25,Europe,
"M 6.5 - 237 km SW of Port McNeill, Canada",6.5,2,4,green,0,655,us,0,1.692,68,mww,10,49.297,-129.724,2018-10-22,,
"M 6.8 - 210 km SW of Port McNeill, Canada",6.8,4,4,green,1,776,us,0,1.505,36,mww,10,49.3346,-129.289,2018-10-22,,
"M 6.5 - 223 km SW of Port McNeill, Canada",6.5,3,4,green,1,669,us,0,1.611,63,mww,10,49.2586,-129.412,2018-10-22,,
"M 6.5 - 171 km E of Tadine, New Caledonia",6.5,0,4,green,1,650,us,0,2.109,22,mww,17,-21.7427,169.522,2018-10-16,,
"M 6.7 - 269 km WNW of Ozernovskiy, Russia",6.7,0,3,green,1,691,us,0,2.705,17,mww,461,52.8549,153.243,2018-10-13,,
"M 6.5 - 154 km S of Severo-Kuril’sk, Russia",6.5,0,4,green,1,650,us,0,3.923,14,mww,20,49.2902,156.297,2018-10-10,,
"M 7.0 - 119 km E of Kimbe, Papua New Guinea",7,6,6,green,1,758,us,0,1.778,18,mww,39,-5.7012,151.205,2018-10-10,,Papua New Guinea
"M 6.7 - 279 km E of Levuka, Fiji",6.7,2,3,green,1,691,us,0,3.745,23,mww,550,-18.3604,-178.063,2018-09-30,,Fiji
"M 7.5 - 72 km N of Palu, Indonesia",7.5,8,8,red,0,2026,us,0,1.649,13,mww,20,-0.2559,119.846,2018-09-28,,Indonesia
M 6.5 - south of the Fiji Islands,6.5,4,1,green,0,651,us,0,5.139,18,mww,576,-25.415,178.199,2018-09-16,,
M 6.9 - Kermadec Islands region,6.9,3,4,green,0,735,us,0,2.785,18,mww,115,-31.7447,-179.373,2018-09-10,,
"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,3,6,green,1,651,us,0,1.638,25,mww,68,-10.0207,161.503,2018-09-09,,Solomon Islands
"M 7.9 - 45 km S of Levuka, Fiji",7.9,7,4,green,1,979,us,0,1.431,12,mww,670.81,-18.4743,179.35,2018-09-06,,Fiji
"M 6.6 - 27 km ESE of Chitose, Japan",6.6,8,9,orange,1,1075,us,0,1.13,32,mww,35,42.6861,141.929,2018-09-05,Asia,Japan
"M 7.1 - 238 km ESE of Tadine, New Caledonia",7.1,2,5,green,1,776,us,0,2.548,23,mww,21.43,-22.0295,170.126,2018-08-29,,
"M 7.1 - 136 km W of Iñapari, Peru",7.1,0,3,green,0,776,us,0,3.77,12,mww,630,-11.0355,-70.8284,2018-08-24,South America,Peru
"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,6,7,green,1,652,us,0,4.797,10,mww,9,-16.0315,168.143,2018-08-21,,Vanuatu
"M 7.3 - 40 km ENE of Carúpano, Venezuela",7.3,8,6,yellow,1,1570,us,0,1.822,15,mww,146.82,10.7731,-62.9019,2018-08-21,,Venezuela
"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,7,7,green,0,1206,us,0,2.453,31,mww,21,-8.319,116.627,2018-08-19,,Indonesia
"M 8.2 - 267 km E of Levuka, Fiji",8.2,5,4,green,1,1050,us,0,3.63,13,mww,600,-18.1125,-178.153,2018-08-19,,Fiji
"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,5,3,green,0,743,us,0,2.719,23,mww,529,-7.3718,119.802,2018-08-17,,Indonesia
"M 6.5 - 108 km WSW of Adak, Alaska",6.5,6,6,green,1,655,us,0,0.576,22,mww,33.93,51.4234,-178.026,2018-08-15,North America,United States of America
"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,9,8,orange,0,1704,us,0,2.271,15,mww,34,-8.2581,116.438,2018-08-05,,Indonesia
"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,7,8,yellow,1,1392,hv,63,0.11,210,mw,5.81,19.3182,-155,2018-05-04,,United States of America
"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,5,3,green,0,733,us,0,5.32,16,mww,559,-20.6588,-63.0058,2018-04-02,South America,Bolivia
"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,9,6,green,1,741,us,0,1.487,18,mww,35,-5.5321,151.5,2018-03-29,,Papua New Guinea
"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,5,6,green,1,696,us,0,1.507,15,mww,40,-5.5024,151.402,2018-03-26,,Papua New Guinea
"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,6,6,green,1,719,us,0,1.049,16,mww,22.86,-4.3762,153.2,2018-03-08,,Papua New Guinea
"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,8,7,green,1,697,us,0,5.457,19,mww,20.49,-6.3043,142.612,2018-03-06,,Papua New Guinea
"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,9,8,yellow,1,943,us,0,5.48,17,mww,25.21,-6.0699,142.754,2018-02-25,,Papua New Guinea
"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,7,7,yellow,1,1384,us,0,0.142,82,mww,22,16.3855,-97.9787,2018-02-16,North America,Mexico
"M 7.9 - 261 km SE of Chiniak, Alaska",7.9,9,4,green,1,1870,us,0,2.585,30,mww,14.06,56.0039,-149.166,2018-01-23,,
"M 7.1 - 37 km W of Atiquipa, Peru",7.1,9,7,green,1,1075,us,0,4.29,23,mww,39,-15.7675,-74.7092,2018-01-14,,Peru
"M 7.5 - 203 km NNE of Barra Patuca, Honduras",7.5,8,5,green,1,1623,us,0,4.581,12,mww,19,17.4825,-83.52,2018-01-10,,
"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,8,7,green,0,998,us,0,2.365,28,mww,90,-7.4921,108.174,2017-12-15,,Indonesia
M 6.5 - Bouvet Island region,6.5,1,5,green,1,651,us,0,17.654,23,mww,17,-54.2189,2.1628,2017-12-13,,
"M 7.0 - 85 km ENE of Tadine, New Caledonia",7,4,6,green,1,771,us,0,0.617,14,mww,10,-21.3246,168.671,2017-11-19,,
"M 6.6 - 74 km E of Tadine, New Caledonia",6.6,4,5,green,1,676,us,0,0.529,21,mww,13,-21.5027,168.598,2017-11-19,,
"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,8,8,yellow,1,1153,us,0,0.225,37,mww,19.36,9.5147,-84.4865,2017-11-13,,Costa Rica
"M 7.3 - 29 km S of ?alabja, Iraq",7.3,8,9,red,0,2790,us,0,0.284,33,mww,19,34.9109,45.9592,2017-11-12,Asia,Iran
"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,6,5,green,1,661,us,0,4.449,10,mww,110.57,-4.2433,143.485,2017-11-07,,Papua New Guinea
"M 6.8 - 97 km NE of Hihifo, Tonga",6.8,5,5,green,1,727,us,0,4.852,21,mww,10,-15.3197,-173.168,2017-11-04,,
"M 6.6 - 101 km E of Tadine, New Caledonia",6.6,3,5,green,1,674,us,0,0.788,29,mww,22,-21.6484,168.859,2017-11-01,,
"M 6.7 - 132 km E of Tadine, New Caledonia",6.7,3,4,green,1,691,us,0,1.062,55,mww,24,-21.6971,169.148,2017-10-31,,
"M 6.7 - 181 km NNE of Maumere, Indonesia",6.7,3,3,green,0,694,us,0,1.634,16,mww,553.81,-7.2168,123.074,2017-10-24,,Indonesia
"M 6.5 - 247 km ESE of Attu Station, Alaska",6.5,3,5,green,1,651,us,0,1.154,11,mww,119,52.3909,176.769,2017-10-08,North America,
"M 7.1 - 1 km S of Matzaco, Mexico",7.1,9,8,,0,1686,us,0,0.984,23,mww,48,18.5499,-98.4887,2017-09-19,North America,Mexico
"M 8.2 - near the coast of Chiapas, Mexico",8.2,9,7,red,1,2910,us,0,0.944,22,mww,47.39,15.0222,-93.8993,2017-09-08,,
"M 6.5 - 168 km SW of Mawu, China",6.5,5,7,yellow,0,707,us,0,11.411,22,mww,9,33.1926,103.855,2017-08-08,Asia,People's Republic of China
"M 6.6 - 11 km ENE of Kos, Greece",6.6,7,7,yellow,0,1064,us,0,0.913,16,mww,7,36.9293,27.4139,2017-07-20,Asia,Turkey
"M 7.7 - Komandorskiye Ostrova, Russia region",7.7,8,7,green,1,918,us,0,3.564,13,mww,10,54.4434,168.857,2017-07-17,,
"M 6.6 - Auckland Islands, New Zealand region",6.6,5,4,green,1,704,us,0,3.773,37,mww,10,-49.4837,164.016,2017-07-11,,
"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,9,8,yellow,1,740,us,0,4.139,30,mww,9,11.1269,124.629,2017-07-06,,Philippines
"M 6.8 - 28 km SW of Puerto San José, Guatemala",6.8,6,6,yellow,1,1034,us,0,1.065,38,mww,38.12,13.7174,-90.9718,2017-06-22,,
"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,8,6,yellow,1,1188,us,0,0.247,35,mww,93,14.9091,-92.0092,2017-06-14,,Guatemala
"M 6.8 - 200 km NW of Attu Station, Alaska",6.8,0,4,green,1,711,us,0,2.308,12,mww,5,54.0312,170.92,2017-06-02,,
"M 6.6 - 37 km WNW of Poso, Indonesia",6.6,7,7,green,0,678,us,0,2.353,18,mww,12,-1.2923,120.431,2017-05-29,,Indonesia
M 6.5 - South Sandwich Islands region,6.5,0,4,green,1,650,us,0,6.489,17,mww,15,-56.414,-25.7432,2017-05-10,,
"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,6,5,green,1,713,us,0,7.495,19,mww,169,-14.5884,167.377,2017-05-09,,Vanuatu
"M 6.9 - 31 km SW of Burias, Philippines",6.9,9,6,green,1,814,us,0,1.636,14,mww,26,5.5043,125.066,2017-04-28,,Philippines
"M 6.9 - 40 km W of Valparaíso, Chile",6.9,9,7,yellow,1,1642,us,0,0.356,39,mww,28,-33.0375,-72.0617,2017-04-24,,
"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,7,8,green,0,1297,us,0,2.36,15,mww,29,-22.6784,25.1558,2017-04-03,Africa,Botswana
"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,6,7,yellow,1,671,us,0,4.591,14,mww,17,56.9401,162.786,2017-03-29,Asia,Russia
M 6.9 - south of the Fiji Islands,6.9,2,3,green,1,733,us,0,6.012,19,mww,414.5,-23.2593,-178.804,2017-02-24,,
"M 6.5 - 41 km E of Padilla, Bolivia",6.5,3,3,green,0,653,us,0,4.242,14,mww,595.98,-19.2814,-63.9047,2017-02-21,South America,Bolivia
"M 6.5 - 11 km N of Mabua, Philippines",6.5,8,7,yellow,1,718,us,0,2.822,36,mww,15,9.9071,125.452,2017-02-10,,Philippines
"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,9,7,yellow,1,987,us,0,3.625,9,mww,135,-6.2464,155.172,2017-01-22,,Papua New Guinea
"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,6,6,green,1,654,us,0,1.64,21,mww,36,-10.3506,161.335,2017-01-19,,Solomon Islands
"M 7.3 - 189 km SSE of Tabiauan, Philippines",7.3,6,3,green,1,849,us,0,3.813,18,mww,627.17,4.4782,122.617,2017-01-10,,
"M 6.9 - 225 km SW of Nadi, Fiji",6.9,6,4,green,1,742,us,0,2.495,13,mww,12,-19.3733,176.052,2017-01-03,,
"M 7.6 - 41 km SW of Quellón, Chile",7.6,9,8,yellow,1,1152,us,0,0.355,29,mww,38,-43.4064,-73.9413,2016-12-25,South America,Chile
"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,5,5,green,0,726,us,0,3.38,17,mww,152,-7.5082,127.921,2016-12-21,,Indonesia
"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,9,7,yellow,1,972,us,0,1.389,13,mww,94.54,-4.5049,153.522,2016-12-17,,Papua New Guinea
"M 6.9 - 92 km WSW of Kirakira, Solomon Islands",6.9,8,6,green,1,737,us,0,1.747,26,mww,19.73,-10.749,161.132,2016-12-09,,
"M 6.5 - 79 km WSW of Kirakira, Solomon Islands",6.5,0,5,green,0,650,us,0,1.937,18,mww,12.26,-10.8416,161.314,2016-12-08,,
"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,9,8,green,1,961,us,0,1.836,13,mww,40,-10.6812,161.327,2016-12-08,,Solomon Islands
"M 6.6 - 164 km W of Ferndale, California",6.6,5,4,green,1,1120,us,0,1.405,55,mww,8.45,40.4535,-126.194,2016-12-08,,
"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,9,8,yellow,0,731,us,0,0.778,27,mww,13,5.2834,96.1678,2016-12-06,,Indonesia
"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,8,7,green,0,693,us,0,1.697,20,mww,17,39.2732,73.9776,2016-11-25,Asia,People's Republic of China
"M 6.9 - 156 km SSW of Puerto El Triunfo, El Salvador",6.9,5,4,green,1,855,us,0,1.796,20,mww,10,11.9097,-88.8968,2016-11-24,,
"M 6.9 - 35 km ESE of Namie, Japan",6.9,9,6,green,1,1144,us,0,0.671,10,mww,9,37.3931,141.387,2016-11-21,Asia,
"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,7,7,yellow,1,664,us,0,0.283,56,mww,9,-42.6058,173.254,2016-11-14,,New Zealand
"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,6,7,yellow,1,656,us,0,0.135,58,mww,10,-42.3205,173.669,2016-11-13,,New Zealand
"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,9,9,orange,1,1545,us,0,0.481,21,mww,15.11,-42.7373,173.054,2016-11-13,,New Zealand
"M 6.6 - 5 km ESE of Preci, Italy",6.6,9,8,red,0,2840,us,0,0.174,25,mww,8,42.8621,13.0961,2016-10-30,Europe,Italy
"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,3,3,green,0,677,us,0,2.022,16,mww,614,-4.8626,108.163,2016-10-19,,Indonesia
"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,3,6,green,1,716,us,0,3.727,11,mww,42,-6.0033,148.887,2016-10-17,,Papua New Guinea
M 6.9 - Fiji region,6.9,2,3,green,1,733,us,0,4.051,9,mww,596.4,-19.7819,-178.244,2016-09-24,,Fiji
"M 7.0 - 175 km NE of Gisborne, New Zealand",7,5,6,green,1,897,us,0,0.698,21,mww,19,-37.3586,179.146,2016-09-01,,
"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,4,3,green,1,713,us,0,0.803,12,mww,476,-3.6849,152.792,2016-08-31,,Papua New Guinea
"M 6.8 - 26 km W of Chauk, Myanmar",6.8,6,6,yellow,0,981,us,0,1.802,17,mww,82,20.9228,94.569,2016-08-24,Asia,Myanmar
M 7.2 - southeast of the Loyalty Islands,7.2,6,5,green,1,799,us,0,4.823,14,mww,16.37,-22.4765,173.117,2016-08-12,,
"M 7.7 - Pagan region, Northern Mariana Islands",7.7,5,6,green,1,971,us,0,3.294,14,mww,196,18.5429,145.507,2016-07-29,,
"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,4,6,green,0,671,us,0,2.435,16,mww,50,-2.0967,100.665,2016-06-01,,Indonesia
M 7.2 - South Sandwich Islands region,7.2,1,6,green,1,798,us,0,5.803,24,mww,78,-56.2409,-26.9353,2016-05-28,,
M 6.9 - ,6.9,3,3,green,1,733,us,0,5.485,19,mww,405.69,-21.9724,-178.204,2016-05-28,,
"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,8,7,green,1,780,us,0,1.192,17,mww,29.95,0.4947,-79.616,2016-05-18,South America,Ecuador
"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,5,7,green,1,744,us,0,1.352,21,mww,16,0.4261,-79.7899,2016-05-18,South America,Ecuador
"M 7.0 - 3 km NW of Norsup, Vanuatu",7,7,7,green,1,755,us,0,0.616,14,mww,24,-16.0429,167.379,2016-04-28,,Vanuatu
"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,9,9,orange,1,1163,us,0,1.44,15,mww,20.59,0.3819,-79.9218,2016-04-16,South America,Ecuador
"M 7.0 - 6 km ESE of Kumamoto, Japan",7,9,9,red,1,2074,us,0,0.349,32,mww,10,32.7906,130.754,2016-04-15,Asia,Japan
"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,6,6,yellow,0,903,us,0,3.001,14,mww,136,23.0944,94.8654,2016-04-13,Asia,Myanmar
"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,6,4,green,0,738,us,0,0.789,17,mww,212,36.4725,71.1311,2016-04-10,Asia,Afghanistan
"M 6.7 - 104 km W of Sola, Vanuatu",6.7,7,5,green,1,692,us,0,6.787,25,mww,27.59,-13.9805,166.594,2016-04-07,,Vanuatu
"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,7,6,green,1,691,us,0,6.697,19,mww,24,-14.0683,166.624,2016-04-06,,Vanuatu
"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,7,6,green,1,734,us,0,1.166,25,mww,26,-14.3235,166.855,2016-04-03,,Vanuatu
"M 7.8 - southwest of Sumatra, Indonesia",7.8,4,3,green,0,948,us,0,7.009,20,mww,24,-4.9521,94.3299,2016-03-02,,
"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,3,7,green,1,799,us,0,0.958,17,mww,177,53.9776,158.546,2016-01-30,Asia,Russia
"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,7,7,green,1,1496,ak,0,0,0,mw,125.6,59.6204,-153.339,2016-01-24,North America,United States of America
"M 6.6 - 203 km SW of La Cruz de Loreto, Mexico",6.6,3,4,green,1,673,us,0,2.413,74,mww,10,18.8239,-106.934,2016-01-21,,
"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,5,6,green,1,717,us,0,0.281,22,mww,46,41.9723,142.781,2016-01-14,Asia,Japan
"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,3,6,green,1,651,us,0,3.144,22,mww,13,3.8965,126.862,2016-01-11,,Indonesia
"M 6.7 - 29 km W of Imph?l, India",6.7,8,7,orange,0,1515,us,0,1.794,16,mww,55,24.8036,93.6505,2016-01-03,Asia,India
"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,8,6,green,1,765,us,0,0.41,35,mww,85,15.8015,-93.633,2015-12-17,,Mexico
"M 6.9 - 107 km SE of Amahai, Indonesia",6.9,8,5,green,0,738,us,0,2.979,14,mww,21,-4.1064,129.508,2015-12-09,,Indonesia
"M 7.2 - 104 km W of Murghob, Tajikistan",7.2,4,7,green,0,827,us,0,1.116,18,mww,22,38.2107,72.7797,2015-12-07,Asia,Tajikistan
"M 6.7 - 125 km SSW of Tarauacá, Brazil",6.7,2,3,green,0,691,us,0,2.033,19,mww,602.75,-9.1825,-71.2574,2015-11-26,South America,Brazil
"M 7.6 - 185 km WNW of Iñapari, Peru",7.6,5,4,green,0,896,us,0,2.852,10,mww,620.56,-10.0598,-71.0184,2015-11-24,South America,Peru
"M 7.6 - 155 km WNW of Iñapari, Peru",7.6,6,5,green,1,957,us,0,3.287,10,mww,606.21,-10.5372,-70.9437,2015-11-24,South America,Peru
"M 6.8 - 153 km WSW of Buala, Solomon Islands",6.8,5,6,green,1,715,us,0,1.599,19,mww,12.59,-8.8994,158.422,2015-11-18,,Solomon Islands
"M 6.5 - 19 km SSW of Lefkáda, Greece",6.5,7,7,orange,0,1018,us,0,0,0,mww,11,38.67,20.6,2015-11-17,Europe,Greece
"M 6.7 - 140 km WSW of Makurazaki, Japan",6.7,5,4,green,0,702,us,0,1.444,17,mww,12,31.0009,128.873,2015-11-13,,
"M 6.9 - 85 km NW of Coquimbo, Chile",6.9,5,6,green,0,744,us,0,0.821,43,mww,10,-29.5097,-72.0585,2015-11-11,,
"M 6.9 - 81 km NW of Coquimbo, Chile",6.9,6,6,green,1,761,us,0,0.784,32,mww,12,-29.5067,-72.0068,2015-11-11,,
"M 6.6 - Nicobar Islands, India region",6.6,7,4,green,0,675,us,0,2.792,31,mww,10,6.8431,94.648,2015-11-08,,
"M 6.8 - 39 km SW of Ovalle, Chile",6.8,7,7,green,1,841,us,0,0.258,41,mww,46,-30.8796,-71.4519,2015-11-07,South America,Chile
"M 6.5 - 47 km NW of Maubara, Timor Leste",6.5,5,7,green,0,657,us,0,1.53,21,mww,20,-8.3381,124.875,2015-11-04,,Indonesia
"M 7.5 - Hindu Kush region, Afghanistan",7.5,8,7,orange,0,1448,us,0,0.622,18,mww,231,36.5244,70.3676,2015-10-26,Asia,Afghanistan
"M 7.1 - 31 km NE of Port-Olry, Vanuatu",7.1,6,6,green,1,780,us,0,0.592,11,mww,135,-14.8595,167.303,2015-10-20,,Vanuatu
"M 6.6 - 28 km N of Sorong, Indonesia",6.6,7,7,green,0,671,us,0,2.486,13,mww,18,-0.6212,131.262,2015-09-24,,Indonesia
"M 6.6 - 22 km WSW of Illapel, Chile",6.6,5,7,green,1,820,us,0,1.064,14,mww,35,-31.7275,-71.3792,2015-09-21,South America,Chile
"M 6.7 - 61 km WNW of Illapel, Chile",6.7,5,7,green,0,718,us,0,0.853,35,mww,23,-31.5173,-71.804,2015-09-17,,Chile
"M 6.5 - 54 km WNW of Illapel, Chile",6.5,6,7,green,0,657,us,0,0.749,62,mww,27,-31.4244,-71.6876,2015-09-17,,Chile
"M 7.0 - 25 km WNW of Illapel, Chile",7,8,7,green,0,799,us,0,0.903,13,mww,28.41,-31.5622,-71.4262,2015-09-16,South America,Chile
"M 8.3 - 48 km W of Illapel, Chile",8.3,9,8,orange,1,1960,us,0,0.684,19,mww,22.44,-31.5729,-71.6744,2015-09-16,,Chile
"M 6.7 - 95 km SW of Topolobampo, Mexico",6.7,5,5,green,1,708,us,0,1.256,123,mww,10,24.913,-109.623,2015-09-13,,
"M 6.5 - 177 km SE of Gizo, Solomon Islands",6.5,0,5,green,1,650,us,0,2.045,16,mww,6.43,-9.3293,157.877,2015-08-12,,
"M 6.6 - 186 km WNW of Malango, Solomon Islands",6.6,3,5,green,1,671,us,0,1.872,20,mww,22,-9.3438,158.053,2015-08-10,,
"M 7.0 - 234 km W of Abepura, Indonesia",7,9,7,green,1,762,us,0,6.278,12,mww,48,-2.6286,138.528,2015-07-27,,Indonesia
"M 6.9 - Fox Islands, Aleutian Islands, Alaska",6.9,4,7,green,1,734,us,0,0.444,39,mww,29,52.376,-169.446,2015-07-27,,
"M 7.0 - 80 km WNW of Lata, Solomon Islands",7,8,6,green,1,759,us,0,5.205,22,mww,11,-10.4012,165.141,2015-07-18,,
"M 6.5 - 128 km NE of Bathsheba, Barbados",6.5,4,4,green,1,686,us,0,1.218,20,mww,20,13.8672,-58.5479,2015-07-16,,
"M 6.7 - 150 km WNW of Malango, Solomon Islands",6.7,4,5,green,1,691,us,0,1.529,11,mww,12,-9.307,158.403,2015-07-10,,Solomon Islands
"M 6.5 - Bonin Islands, Japan region",6.5,3,4,green,0,652,us,0,2.277,11,mww,460,27.7375,139.725,2015-06-23,,
"M 7.8 - Bonin Islands, Japan region",7.8,6,3,green,1,1151,us,0,1.675,12,mww,664,27.8386,140.493,2015-05-30,,
"M 6.8 - 117 km SSE of Ugashik, Alaska",6.8,5,6,green,1,762,ak,0,0,0,mw,72.6,56.594,-156.43,2015-05-29,,
"M 6.8 - 159 km ESE of Kirakira, Solomon Islands",6.8,1,5,green,1,711,us,0,3.619,18,mww,10,-11.1093,163.215,2015-05-22,,
"M 6.9 - 205 km ESE of Kirakira, Solomon Islands",6.9,1,4,green,1,732,us,0,4.024,22,mww,11.19,-11.0559,163.696,2015-05-22,,
"M 6.8 - 178 km W of Lata, Solomon Islands",6.8,1,4,green,1,711,us,0,4.395,15,mww,11,-10.8759,164.169,2015-05-20,,
"M 6.8 - 32 km SE of ?funato, Japan",6.8,8,6,green,1,831,us,0,1.422,8,mww,35,38.9056,142.032,2015-05-12,Asia,Japan
M 7.3 - Nepal,7.3,8,7,orange,0,1563,us,0,0.677,11,mww,15,27.8087,86.0655,2015-05-12,Asia,Nepal
"M 7.1 - 143 km SW of Panguna, Papua New Guinea",7.1,1,6,green,1,776,us,0,3.835,11,mww,10,-7.2175,154.557,2015-05-07,,
"M 7.5 - 131 km SSW of Kokopo, Papua New Guinea",7.5,7,8,green,1,869,us,0,1.295,22,mww,55,-5.4624,151.875,2015-05-05,,Papua New Guinea
"M 6.8 - 109 km SSW of Kokopo, Papua New Guinea",6.8,5,6,green,1,714,us,0,1.074,23,mww,44,-5.2005,151.777,2015-05-01,,Papua New Guinea
"M 6.7 - 126 km SSW of Kokopo, Papua New Guinea",6.7,5,6,green,1,692,us,0,1.239,12,mww,31,-5.375,151.771,2015-04-30,,Papua New Guinea
"M 6.7 - 21 km SSE of Kod?ri??, Nepal",6.7,7,7,yellow,0,1016,us,0,0.727,13,mww,22.91,27.7711,86.0173,2015-04-26,Asia,Nepal
"M 6.6 - 71 km NNE of Bharatpur, Nepal",6.6,8,7,yellow,0,733,us,0,1.778,16,mww,10,28.2244,84.8216,2015-04-25,Asia,Nepal
"M 7.8 - 67 km NNE of Bharatpur, Nepal",7.8,8,9,red,0,2820,us,0,1.857,12,mww,8.22,28.2305,84.7314,2015-04-25,Asia,Nepal
"M 6.5 - 181 km SSW of Alo, Wallis and Futuna",6.5,0,5,green,1,650,us,0,3.702,42,mww,10,-15.8815,-178.6,2015-04-17,,
"M 6.5 - 96 km ENE of Hihifo, Tonga",6.5,2,5,green,1,650,us,0,4.629,36,mww,11,-15.4994,-173.029,2015-03-30,,
"M 7.5 - 53 km SE of Kokopo, Papua New Guinea",7.5,6,7,green,1,872,us,0,0.666,19,mww,41,-4.7294,152.562,2015-03-29,,Papua New Guinea
"M 7.0 - 150 km NNE of Maumere, Indonesia",7,4,6,green,0,760,us,0,1.362,12,mww,552.06,-7.2968,122.535,2015-02-27,,Indonesia
"M 6.7 - 83 km ENE of Miyako, Japan",6.7,5,5,green,1,714,us,0,1.925,20,mww,23,39.8558,142.881,2015-02-16,,
"M 6.7 - 103 km W of El Aguilar, Argentina",6.7,4,6,green,1,700,us,0,2.11,16,mww,223,-23.1125,-66.688,2015-02-11,South America,Argentina
"M 6.8 - 81 km NNE of Port-Vila, Vanuatu",6.8,1,4,green,1,711,us,0,2.019,13,mww,219.96,-17.0309,168.52,2015-01-23,,Vanuatu
"M 6.5 - 236 km S of Punta de Burica, Panama",6.5,1,4,green,1,650,us,0,4.318,61,mww,8,5.9045,-82.6576,2015-01-07,,
"M 6.6 - 22 km ESE of Punta de Burica, Panama",6.6,7,6,green,1,709,us,0,2.485,43,mww,20,7.9401,-82.6865,2014-12-08,,Panama
