title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,event_date_utc,continent,country
M 6.8 - south of the Fiji Islands,6.8,1,3,green,1,711,us,136,4.678,22,mww,630.379,-25.9678,178.363,2022-11-09,,
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,7,6,green,1,797,us,145,1.151,37,mww,20,7.6712,-82.3396,2022-10-20,,Panama
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,8,7,yellow,1,1179,us,175,2.137,92,mww,20,18.33,-102.913,2022-09-22,North America,Mexico
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,9,8,yellow,1,1799,us,271,1.153,69,mww,26.943,18.3667,-103.252,2022-09-19,North America,Mexico
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,9,9,yellow,1,887,us,215,0.401,34,mww,10,23.1444,121.307,2022-09-18,Asia,Taiwan
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,7,7,green,1,756,us,178,0.43,54,mww,10,23.029,121.348,2022-09-17,Asia,Taiwan
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7,7,5,green,1,761,us,192,2.977,45,mww,137,-21.2077,170.239,2022-09-14,,
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,8,8,yellow,1,965,us,272,3.158,12,mww,116,-6.2237,146.471,2022-09-10,Oceania,Papua New Guinea
"M 6.6 - 44 km SE of Kangding, China",6.6,9,8,orange,0,1043,us,141,8.454,34,mww,12,29.7263,102.279,2022-09-05,Asia,People's Republic of China
M 6.6 - south of the Kermadec Islands,6.6,7,6,green,1,672,us,68,5.293,34,mww,30,-32.6922,-178.959,2022-08-14,,
"M 7.0 - 11 km NE of Bantay, Philippines",7,9,8,yellow,1,1351,us,152,5.276,22,mww,33.729,17.5978,120.809,2022-07-27,Asia,Philippines
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,3,2,green,0,653,us,236,1.999,31,mww,622.73,-9.0618,-71.1647,2022-06-08,South America,Brazil
"M 7.2 - 10 km W of Azángaro, Peru",7.2,7,5,green,1,876,us,144,2.494,40,mww,236,-14.8628,-70.3081,2022-05-26,South America,Peru
M 6.9 - ,6.9,2,5,green,1,733,us,127,0.371,45,mww,10,-54.1325,159.027,2022-05-19,,
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,6,5,green,1,762,us,162,1.505,30,mww,220,-23.6141,-66.7236,2022-05-10,South America,Argentina
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,6,5,green,1,762,us,0,0.914,94,mww,27,11.5538,-86.9919,2022-04-21,,
M 7.0 - southeast of the Loyalty Islands,7,6,4,green,1,763,us,0,2.705,26,mww,10,-22.5732,170.349,2022-03-31,,
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,6,4,green,1,738,us,0,2.697,42,mww,10,-22.72,170.277,2022-03-30,,
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,8,7,green,1,806,us,0,0.289,32,mww,24,23.3421,121.636,2022-03-22,Asia,Taiwan
"M 7.3 - 57 km ENE of Namie, Japan",7.3,9,8,red,1,2397,us,0,2.936,29,mww,41,37.7015,141.587,2022-03-16,,
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,9,6,green,0,708,us,0,2.188,43,mww,28,-0.6831,98.6034,2022-03-13,Asia,Indonesia
"M 6.6 - Kermadec Islands, New Zealand",6.6,2,7,green,1,670,us,0,0.827,46,mww,24,-30.0528,-177.74,2022-03-02,,
M 6.8 - south of the Fiji Islands,6.8,2,3,green,1,712,us,0,5.78,12,mww,535,-23.7852,-179.968,2022-02-16,,
"M 6.5 - 49 km NW of Barranca, Peru",6.5,8,6,green,0,690,us,0,3.026,22,mww,110,-4.455,-76.9395,2022-02-03,South America,Peru
M 6.5 - Kermadec Islands region,6.5,7,4,green,1,651,us,0,1.088,57,mww,8,-29.535,-176.729,2022-01-29,,
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,8,6,green,0,785,us,0,2.418,22,mww,33,-6.9291,105.251,2022-01-14,,Indonesia
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,0,3,,1,650,at,97,1.61607,108,Mi,37,52.502,-168.08,2022-01-11,,
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,0,3,,1,650,pt,23,0,208.8,Mi,37,52.502,-168.08,2022-01-11,,
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,8,5,green,1,674,us,0,0.507,49,mww,19,52.6252,-168.15,2022-01-11,,
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,0,4,,1,691,at,50,0.936943,126,Mi,33,52.48,-167.736,2022-01-11,,
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,0,4,,1,691,pt,20,0,205.2,Mi,33,52.48,-167.736,2022-01-11,,
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,7,6,green,1,730,us,0,0.92,61,mww,20,52.6563,-167.917,2022-01-11,,
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,6,6,green,0,976,us,0,1.168,21,mww,21,35.1456,31.9095,2022-01-11,Asia,
"M 6.6 - northern Qinghai, China",6.6,9,8,orange,0,1012,us,0,2.685,13,mww,13,37.8167,101.299,2022-01-07,Asia,People's Republic of China
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,8,7,green,0,921,us,0,3.713,19,mww,165.49,-7.5924,127.581,2021-12-29,,Indonesia
M 7.3 - Flores Sea,7.3,9,5,green,1,854,us,0,1.025,32,mww,14.27,-7.6033,122.2,2021-12-14,Asia,Indonesia
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,8,8,yellow,1,1094,us,0,4.951,40,mww,126,-4.4898,-76.8461,2021-11-28,South America,Peru
"M 6.6 - 177 km SE of Hirara, Japan",6.6,7,4,green,1,688,us,0,3.259,15,mww,12,23.5414,126.48,2021-11-10,,
"M 6.9 - 112 km E of Chignik, Alaska",6.9,8,6,green,1,995,ak,0,0,0,mww,51.6,56.2581,-156.492,2021-10-11,North America,United States of America
M 6.9 - Vanuatu region,6.9,4,3,green,1,740,us,0,4.778,31,mww,535,-21.1704,174.54,2021-10-09,,
M 7.3 - Vanuatu region,7.3,4,4,green,1,826,us,0,4.493,32,mww,527,-21.1036,174.895,2021-10-02,,
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,7,5,green,1,684,us,0,0.993,114,mww,21,12.1598,-87.8542,2021-09-22,,
